4|Gesellschaft, Zivilisation, Kultur
41C342|Servierteller, -platte
41C343|Tablett
41C344|Soßenschüssel
41C345|Schüssel
41C35|Tischdekoration
41C351|Mittelstück, Tafelaufsatz, Surtout, Milieu-de-Table
41C352|trionfi di tavola; pièces montées
41C353|Aquamanile, Gefäß mit Wasser für die Händewaschung vor einer Mahlzeit
41C36|Tafelgeschirr auf einem Büffet
41C37|Tischtuch
41C371|Serviette
41C3711|Serviettenring
41C38|gedeckter Tisch als Stilleben
41C381|Stilleben mit Darstellung eines Frühstücks (niederländisch: ontbijtje)
41C382|Bankettstück
41C4|Mahlzeit (im Familienkreis)
41C41|Frühstück
41C411|Morgenkaffee
41C42|Mittagessen, Lunch
41C421|Mittagstee
41C4211|Teezeremonie
41C422|Nachmittagstee
41C43|Abendessen
41C44|Nachtmahl
41C5|kultisches Mahl, Festmahl, Bankett, Gastmahl
41C50|Ripa: Convito
41C51|Bankett einer vornehmen Gesellschaft
41C52|Zecherei, Trinkgelage, Orgie
41C520|Ripa: Crapula
41C6|Lebensmittel; Stilleben mit Lebensmitteln
41C61|Mehl
41C611|Getreidemehlsorten
41C612|Produkte aus Getreidemehl
41C6121|Getreideflocken
41C6122|Nudeln, Spaghetti
41C62|Brot, Kuchen, Backwerk etc.
41C621|Brot, Brotlaib
41C6211|spezifisch geformtes Brot
41C62111|flaches, rundes Brot oder Backwerk; z.B. Pizza
41C6212|belegte bzw. gefüllte Brote oder Teigrollen; z.B. Sandwich, Hamburger
41C622|Kuchen, Torte, Tortengebäck
41C6221|Delikateßkuchen
41C6222|Kekse
41C623|Pfannkuchen
41C624|Waffeln
41C6241|gerollte (Eis-)Waffel, Hörnchen
41C625|Pastete
41C626|Backformen
41C6261|Formen für Kekse, Torten, Backwerk
41C6262|Formen für Kekse, Plätzchen
41C62621|sogenannte Spekulatiusbretter
41C6263|Waffeleisen
41C6264|Backblech
41C63|Zucker
41C631|Zuckerhut
41C632|Würfelzucker
41C633|Sirup
41C634|Kandiszucker
41C635|Süßigkeiten, Delikatessen
41C6351|Eis(-creme)
41C6352|Schokolade
41C636|Honig
41C637|mit Zucker bestreut, überzogen, glasiert
41C6371|Zuckerguß
41C64|Milchprodukte und Eier
41C641|Milchprodukte
41C6411|Butter
41C6412|Käse
41C6413|Milch
41C64131|Buttermilch
41C64132|Joghurt
41C64133|Sahne
41C642|Eier, Eierspeisen
41C65|Gemüse und Obst; Gemüse-und Fruchtstilleben
41C651|Kartoffeln
41C6511|Produkte aus Kartoffeln, z.B. Kartoffelchips, Pommes Frites
41C652|Gemüse
41C652(...)|Gemüse (mit NAMEN)
41C6521|Produkte aus Gemüse
41C6521(...)|Produkte aus Gemüse (mit NAMEN)
41C653|Obst
41C653(...)|Obst (mit NAMEN)
41C6531|Produkte aus Obst; z.B. Gelee, Marmelade etc.
41C66|Gewürze
41C66(...)|Gewürze (mit NAMEN)
41C66(SAFFRON)|Gewürze: Safran
41C661|Salz
41C662|Pfeffer
41C663|Senf
41C67|Öl, Essig, Soßen
41C671|Öle und Pflanzenfette
41C6711|Margarine
41C672|Essig
41C673|Soßen
41C68|Fisch; Fischstilleben
41C68(...)|Fisch als Lebensmittel (mit NAMEN)
41C68(SMOKED HERRING)|Fisch: Räucherhering, Bückling
41C681|eßbare Meerestiere
41C681(...)|eßbare Meerestiere (mit NAMEN)
41C69|Fleisch; Fleischstilleben
41C691|geschlachteter Ochse oder geschlachtetes Schwein
41C692|Fleischsorten
41C692(...)|Fleischsorten (mit NAMEN)
41C693|Wurst
41C694|Schinken
41C695|Fett, Schmalz
41C696|Brühe, Suppe
41C7|Getränke, Stimulantien, Drogen
41C71|alkoholische Getränke
41C711|alkoholische Getränke: Wein
41C7111|ein Glas Wein
41C7112|eine Flasche Wein
41C7113|Weinsorten
41C7113(...)|Weinsorten (mit NAMEN)
41C712|Likör
41C713|hochprozentige alkoholische Getränke
41C7131|Genever, Gin
41C7132|Whisky
41C7133|Wodka
41C7134|Weinbrand
41C714|Bier, Ale
41C7141|ein Glas Bier
41C715|andere alkoholische Getränke
41C715(...)|andere alkoholische Getränke (mit NAMEN)
41C7151|Cocktail
41C72|anregende Getränke
41C721|Kaffee
41C7211|eine Tasse Kaffee
41C722|Tee(-blätter)
41C7221|eine Tasse Tee
41C723|Schokolade, Kakao
41C73|andere nicht-alkoholische Getränke
41C731|Fruchtsirup
41C732|Fruchtsaft
41C74|Tabak
41C741|Tabakpfeife
41C7411|Wasserpfeife, Huka, Nargileh
41C7412|(Kau-)Tabakrolle
41C7413|Tabakgefäß
41C7414|Pfeifenhalter, Pfeifenständer
41C7415|Aschenbecher
41C742|Zigarre
41C7421|Zigarrenschachtel
41C7422|Zigarrenetui
41C7423|Zigarrenspitze
41C743|Zigarette
